Year,CAT001A,CAT002B,CAT006B,CAT013A,CAT015B,CAT018B,CAT019A,CMM001A,CMM002A,CMM003B,CMM004B,CMM006B,CMM009B,CMM010B,CMM014B,CMM015A,CMM021B,CMM022B,CMM023B,CMM024A,CMM025A,CMM026B,CMM028A,CMM029A,CMM029B,CMM031B,CMM041B,CMM042A,CMM042B,CMM053B,CMM056A,CMM059A,CMM059B,CMM067B,CMM068A,CMM072A,CMM086A,CMM086B,CMM110A,CMM112A,CMM117A,CMM118A,CMM121A,CMM133A,CMM134A
1661,1.631843877,1.255720979,2.207664851,1.591911843,1.838526246,1.579180279,1.500262008,,,1.744685574,,,,,,,,,,,,,,,,,,,1.248803731,,,,,,,,,,,,1.244036595,1.273445273,,1.452633067,1.274061279
1662,1.620480979,1.39658795,2.234620722,1.478945457,1.716087029,1.255144156,1.291874508,,,1.914898513,,,,,,,,,,,,,,,,,,,1.668960822,,,,,,,,,,,,0.943372109,1.511986881,,1.729156681,1.371694088
1663,1.074942651,1.003132979,1.652213948,1.211085495,1.412222339,1.153440464,0.765904178,,,1.322610673,,,,,,,,,,,,,,,,,,,1.446668638,,,,,,,,,,,,1.753679717,1.143622474,,1.177832086,1.241445537
1664,0.59796849,0.655137532,0.225460562,0.244736914,-0.126683326,0.586317867,0.533241406,,,-0.085535428,,,,,,,,,,,,,,,,,,,0.808205224,,,,,,,,,,,,0.315990329,0.239617224,,0.101650899,0.27134897
1665,1.198663627,1.022482541,1.174382047,1.002191812,1.347607821,1.060173434,1.09857012,,,1.451668441,,,,,,,,,,,,,,,,,,,0.488697685,,,,,,,,,,,,0.619180951,1.352699671,,1.117880037,0.869888625
1666,0.930101293,0.947063492,0.915179586,0.97568694,0.765958704,1.118564647,0.821865244,,,0.75259594,,,,,,0.808769573,,,,,,,,,,,,,0.612053091,,,,,,,,,,,,1.164812158,1.274390119,,0.778170388,1.784770066
1667,0.561895504,0.60871329,0.618108349,0.7299956,0.376628902,0.383581106,0.692300303,,,0.379966184,,,,,,0.57556323,,,,,,,,,,,,,0.939033515,,,,,,,,,,,,0.639953609,0.711387705,,0.699790363,0.788135045
1668,0.650618294,0.746987637,0.476955762,0.939128484,0.775396943,0.588801707,0.557594535,,,0.724280408,,,,,,0.56094751,,,,,,,,,,,,,0.736069074,,,,,,,,,,,,0.594152224,0.994773715,,0.620925447,0.497400868
1669,1.104272492,1.074495106,1.038854994,0.982732663,0.478535079,0.388008446,0.696163528,,,0.563609257,,,,,,1.304820067,,,,,,,,,,,,,0.660398569,,,,,,,,,,,,0.8496369,0.874594439,,0.356204882,0.394871363
1670,0.982552431,1.05175203,1.072775242,1.208859891,0.536040882,0.671410098,0.814433712,,,0.733913582,,,,,,1.239156146,,,,,,,,,,,,,0.763958976,,,,,,,,,,,,0.947045164,1.980616283,,0.571598647,0.943033646
1671,0.711234883,0.815491051,0.595350847,0.956970298,0.558114794,0.659033282,0.790004618,,,0.561543485,,,,,,0.872201029,,,,,,,,,,,,,0.941084554,,,,,,,,,,,,0.613023809,1.131880455,,0.542173391,1.206218512
1672,1.114256254,1.078515577,1.150033183,1.255710214,0.575340514,0.98837392,1.051059094,,,1.015914805,,,,,,1.298148092,,,,,,,,,,,,,0.814945303,,,,,,,,,,,,0.964361185,1.525065376,,1.793763261,1.613048012
1673,1.229481021,1.442839168,1.45255073,1.029294084,1.219790687,1.372667493,1.147840187,,,1.155862765,,,,,,1.219966221,,,,,,,,,,,,,1.091266516,,,,,,,,,,,,0.947852628,0.84118312,,1.315675415,0.902437625
1674,1.312054659,1.121838184,1.453643884,1.256606513,1.207000646,1.444466274,1.161070714,,,1.306697768,,,,,,1.368811412,,,,,,,,,,,,,1.290782023,,,,,,,,,,,,1.062559376,1.332106814,,1.173312779,1.052590743
1675,1.190374775,0.540614828,1.094942413,1.14348283,1.198427533,1.366358774,1.000360086,,,0.895752493,,,,,,1.260690977,,,,,,,,,,,,,1.478221448,,,,,,,,,,,,0.927695902,1.087506311,,1.328619292,1.077827232
1676,0.368038315,0.104133354,0.733450045,0.51663091,1.009205518,0.87861169,0.73954427,,,0.600571179,,,,,,0.655419012,,,,,,,,,,,,,0.92904961,,,,,,,,,,,,0.529894237,0.408738078,,0.438368391,0.822115525
1677,0.763225705,1.131130866,0.889210104,0.925145479,0.521067717,0.903950892,0.807319212,,,0.942442892,,,,,,0.749633281,,,,,,,,,,,,,0.519293001,,,,,,,,,,,,0.710089723,1.07840941,,0.510674701,0.771434806
1678,1.178575138,1.122143105,1.139629557,1.096395667,0.888499269,1.16194116,0.922146808,,,1.394384679,,,,,,1.316363441,,,,,,,,,,,,,0.836188317,,,,,,,,,,,,0.849542729,1.335307163,,0.889218846,1.065106658
1679,1.221450286,0.959997378,1.233998483,0.933959372,1.3601685,1.059735877,0.904051515,,,1.726765356,,,,,,1.154035695,,,,,,,,,,,,,1.066261638,,,,,,,,,,,,0.809662526,0.584608977,,0.869866493,1.07257642
